Company,"Vanguard Group, Inc. (The)",Blackrock Inc.,"Berkshire Hathaway, Inc",State Street Corporation,"FMR, LLC","Geode Capital Management, LLC"
Apple Inc.,7.48,6.29,5.28,3.8,2.14,1.48
Amgen Inc.,8.2,8.3,0.0,5.23,2.39,1.53
American Express Company,5.85,5.78,18.87,4.08,0.0,1.15
The Boeing Company,7.05,5.36,0.0,4.44,1.05,1.31
Caterpillar Inc.,8.47,6.53,0.0,7.56,0.0,1.49
"salesforce.com, inc.",7.67,7.1,0.0,4.4,8.33,1.42
"Cisco Systems, Inc.",7.83,7.76,0.0,4.25,0.0,1.6
Chevron Corporation,8.18,6.58,2.52,6.63,0.0,1.52
The Walt Disney Company,8.03,6.35,0.0,3.93,1.32,1.45
Dow Inc.,8.05,6.03,0.0,4.79,0.0,1.48
"The Goldman Sachs Group, Inc.",7.42,6.1,0.0,5.74,0.0,1.51
"The Home Depot, Inc.",8.35,6.67,0.0,4.51,1.98,1.53
Honeywell International Inc.,7.4,6.16,0.0,4.97,0.0,0.0
International Business Machines Corporation,8.26,6.97,0.0,5.81,0.0,1.49
Intel Corporation,8.33,7.6,0.0,4.36,0.0,1.78
Johnson & Johnson,8.66,7.16,0.0,5.47,0.0,1.52
JPMorgan Chase & Co.,8.03,6.35,0.0,4.46,1.27,1.47
The Coca-Cola Company,7.25,6.56,9.28,3.97,1.31,1.31
McDonald's Corporation,8.7,6.8,0.0,4.83,0.0,1.53
3M Company,7.77,7.11,0.0,5.19,0.0,1.52
"Merck & Co., Inc.",8.24,7.71,0.0,4.51,0.0,1.66
Microsoft Corporation,8.14,6.83,0.0,3.97,2.95,1.56
"NIKE, Inc.",8.15,7.3,0.0,4.28,2.44,0.0
The Procter & Gamble Company,8.85,6.58,0.0,4.43,1.04,1.62
"The Travelers Companies, Inc.",8.62,8.08,0.0,6.55,5.57,1.55
UnitedHealth Group Incorporated,8.37,7.57,0.0,4.68,5.56,1.5
Visa Inc.,8.5,7.5,0.0,4.34,3.73,1.55
Verizon Communications Inc.,7.87,7.22,3.54,3.89,0.0,1.56
"Walgreens Boots Alliance, Inc.",6.72,5.78,0.0,5.42,1.96,1.3
Walmart Inc.,4.69,3.09,0.0,2.28,0.71,0.77
